13:24:50.303 |I| Build                          | .NET ThreadPool Worker:7       | Finish build project 'Unity.VSCode.Editor.csproj': Success
13:24:50.304 |I| Build                          | .NET ThreadPool Worker:24      | Finish build part [1/1] for project 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Mono.Reflection.csproj': Success
13:24:50.304 |I| Build                          | .NET ThreadPool Worker:24      | Finish build project 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Mono.Reflection.csproj': Success
13:24:50.306 |I| Build                          | .NET ThreadPool Worker:26      | Finish build part [1/1] for project 'Unity.Performance.Profile-Analyzer.Editor.csproj': Success
13:24:50.306 |I| Build                          | .NET ThreadPool Worker:26      | Finish build project 'Unity.Performance.Profile-Analyzer.Editor.csproj': Success
13:24:50.308 |I| Build                          | .NET ThreadPool Worker:24      | Finish build part [1/1] for project 'Unity.Timeline.csproj': Success
13:24:50.308 |I| Build                          | .NET ThreadPool Worker:24      | Finish build project 'Unity.Timeline.csproj': Success
13:24:50.312 |I| Build                          | .NET ThreadPool Worker:26      | Finish build part [1/1] for project 'Unity.TestTools.CodeCoverage.Editor.csproj': Success
13:24:50.313 |I| Build                          | .NET ThreadPool Worker:26      | Finish build project 'Unity.TestTools.CodeCoverage.Editor.csproj': Success
13:24:50.318 |I| Build                          | .NET ThreadPool Worker:24      | Finish build part [1/1] for project 'Unity.VisualScripting.Flow.csproj': Success
13:24:50.318 |I| Build                          | .NET ThreadPool Worker:24      | Finish build project 'Unity.VisualScripting.Flow.csproj': Success
13:24:50.324 |I| Build                          | .NET ThreadPool Worker:26      | Finish build part [1/1] for project 'Unity.VisualScripting.Core.Editor.csproj': Success
13:24:50.324 |I| Build                          | .NET ThreadPool Worker:26      | Finish build project 'Unity.VisualScripting.Core.Editor.csproj': Success
13:24:50.326 |W| ProjectModel                   | .NET ThreadPool Worker:24      | Cannot bind project. Attempt 1. Exception: Collection was modified; enumeration operation may not execute.
13:24:50.327 |I| Build                          | .NET ThreadPool Worker:28      | Finish build part [1/1] for project 'Unity.VisualScripting.State.csproj': Success
